cut_comuna;comuna;cut_region;region
8105;Hualqui;8;Biobío
8106;Lota;8;Biobío
8107;Penco;8;Biobío
8108;San Pedro de la Paz;8;Biobío
8109;Santa Juana;8;Biobío
8110;Talcahuano;8;Biobío
8111;Tomé;8;Biobío
8112;Hualpén;8;Biobío
8201;Lebu;8;Biobío
8202;Arauco;8;Biobío
8203;Cañete;8;Biobío
8204;Contulmo;8;Biobío
8205;Curanilahue;8;Biobío
8206;Los Alamos;8;Biobío
8207;Tirúa;8;Biobío
8301;Los Angeles;8;Biobío
8302;Antuco;8;Biobío
8303;Cabrero;8;Biobío
8304;Laja;8;Biobío
8305;Mulchén;8;Biobío
8306;Nacimiento;8;Biobío
8307;Negrete;8;Biobío
8308;Quilaco;8;Biobío
8309;Quilleco;8;Biobío
8310;San Rosendo;8;Biobío
8311;Santa Bárbara;8;Biobío
8312;Tucapel;8;Biobío
8313;Yumbel;8;Biobío
8314;Alto Biobío;8;Biobío
9101;Temuco;9;La Araucanía
9102;Carahue;9;La Araucanía
9103;Cunco;9;La Araucanía
9104;Curarrehue;9;La Araucanía
9105;Freire;9;La Araucanía
9106;Galvarino;9;La Araucanía
9107;Gorbea;9;La Araucanía
9108;Lautaro;9;La Araucanía
9109;Loncoche;9;La Araucanía
9110;Melipeuco;9;La Araucanía
9111;Nueva Imperial;9;La Araucanía
9112;Padre Las Casas;9;La Araucanía
9113;Perquenco;9;La Araucanía
9114;Pitrufquén;9;La Araucanía
9115;Pucón;9;La Araucanía
9116;Saavedra;9;La Araucanía
9117;Teodoro Schmidt;9;La Araucanía
9118;Toltén;9;La Araucanía
9119;Vilcún;9;La Araucanía
9120;Villarrica;9;La Araucanía
9121;Cholchol;9;La Araucanía
9201;Angol;9;La Araucanía
9202;Collipulli;9;La Araucanía
9203;Curacautín;9;La Araucanía
9204;Ercilla;9;La Araucanía
9205;Lonquimay;9;La Araucanía
9206;Los Sauces;9;La Araucanía
9207;Lumaco;9;La Araucanía
9208;Purén;9;La Araucanía
9209;Renaico;9;La Araucanía
9210;Traiguén;9;La Araucanía
9211;Victoria;9;La Araucanía
10101;Puerto Montt;10;Los Lagos
10102;Calbuco;10;Los Lagos
10103;Cochamó;10;Los Lagos
10104;Fresia;10;Los Lagos
10105;Frutillar;10;Los Lagos
10106;Los Muermos;10;Los Lagos
10107;Llanquihue;10;Los Lagos
10108;Maullín;10;Los Lagos
10109;Puerto Varas;10;Los Lagos
10201;Castro;10;Los Lagos
10202;Ancud;10;Los Lagos
10203;Chonchi;10;Los Lagos
10204;Curaco de Vélez;10;Los Lagos
10205;Dalcahue;10;Los Lagos
10206;Puqueldón;10;Los Lagos
10207;Queilén;10;Los Lagos
10208;Quellón;10;Los Lagos
10209;Quemchi;10;Los Lagos
10210;Quinchao;10;Los Lagos
10301;Osorno;10;Los Lagos
10302;Puerto Octay;10;Los Lagos
10303;Purranque;10;Los Lagos
10304;Puyehue;10;Los Lagos
10305;Río Negro;10;Los Lagos
10306;San Juan de la Costa;10;Los Lagos
10307;San Pablo;10;Los Lagos
10401;Chaitén;10;Los Lagos
10402;Futaleufú;10;Los Lagos
10403;Hualaihué;10;Los Lagos
10404;Palena;10;Los Lagos
11101;Coihaique;11;Aysén del General Carlos Ibáñez del Campo
11102;Lago Verde;11;Aysén del General Carlos Ibáñez del Campo
11201;Aisén;11;Aysén del General Carlos Ibáñez del Campo
11202;Cisnes;11;Aysén del General Carlos Ibáñez del Campo
11203;Guaitecas;11;Aysén del General Carlos Ibáñez del Campo
11301;Cochrane;11;Aysén del General Carlos Ibáñez del Campo
11302;O'Higgins;11;Aysén del General Carlos Ibáñez del Campo
11303;Tortel;11;Aysén del General Carlos Ibáñez del Campo
11401;Chile Chico;11;Aysén del General Carlos Ibáñez del Campo
11402;Río Ibáñez;11;Aysén del General Carlos Ibáñez del Campo
12101;Punta Arenas;12;Magallanes y de la Antártica Chilena
12102;Laguna Blanca;12;Magallanes y de la Antártica Chilena
12103;Río Verde;12;Magallanes y de la Antártica Chilena
12104;San Gregorio;12;Magallanes y de la Antártica Chilena
12201;Cabo de Hornos;12;Magallanes y de la Antártica Chilena
12301;Porvenir;12;Magallanes y de la Antártica Chilena
12302;Primavera;12;Magallanes y de la Antártica Chilena
12303;Timaukel;12;Magallanes y de la Antártica Chilena
12401;Natales;12;Magallanes y de la Antártica Chilena
12402;Torres del Paine;12;Magallanes y de la Antártica Chilena
13101;Santiago;13;Metropolitana de Santiago
13102;Cerrillos;13;Metropolitana de Santiago
13103;Cerro Navia;13;Metropolitana de Santiago
13104;Conchalí;13;Metropolitana de Santiago
13105;El Bosque;13;Metropolitana de Santiago
13106;Estación Central;13;Metropolitana de Santiago
13107;Huechuraba;13;Metropolitana de Santiago
13108;Independencia;13;Metropolitana de Santiago
13109;La Cisterna;13;Metropolitana de Santiago
13110;La Florida;13;Metropolitana de Santiago
13111;La Granja;13;Metropolitana de Santiago
13112;La Pintana;13;Metropolitana de Santiago
13113;La Reina;13;Metropolitana de Santiago
13114;Las Condes;13;Metropolitana de Santiago
13115;Lo Barnechea;13;Metropolitana de Santiago
13116;Lo Espejo;13;Metropolitana de Santiago
13117;Lo Prado;13;Metropolitana de Santiago
13118;Macul;13;Metropolitana de Santiago
13119;Maipú;13;Metropolitana de Santiago
13120;Ñuñoa;13;Metropolitana de Santiago
13121;Pedro Aguirre Cerda;13;Metropolitana de Santiago
13122;Peñalolén;13;Metropolitana de Santiago
13123;Providencia;13;Metropolitana de Santiago
13124;Pudahuel;13;Metropolitana de Santiago
13125;Quilicura;13;Metropolitana de Santiago
13126;Quinta Normal;13;Metropolitana de Santiago
13127;Recoleta;13;Metropolitana de Santiago
13128;Renca;13;Metropolitana de Santiago
13129;San Joaquín;13;Metropolitana de Santiago
13130;San Miguel;13;Metropolitana de Santiago
13131;San Ramón;13;Metropolitana de Santiago
13132;Vitacura;13;Metropolitana de Santiago
13201;Puente Alto;13;Metropolitana de Santiago
13202;Pirque;13;Metropolitana de Santiago
13203;San José de Maipo;13;Metropolitana de Santiago
13301;Colina;13;Metropolitana de Santiago
13302;Lampa;13;Metropolitana de Santiago
13303;Tiltil;13;Metropolitana de Santiago
13401;San Bernardo;13;Metropolitana de Santiago
13402;Buin;13;Metropolitana de Santiago
13403;Calera de Tango;13;Metropolitana de Santiago
13404;Paine;13;Metropolitana de Santiago
13501;Melipilla;13;Metropolitana de Santiago
13502;Alhué;13;Metropolitana de Santiago
13503;Curacaví;13;Metropolitana de Santiago
13504;María Pinto;13;Metropolitana de Santiago
13505;San Pedro;13;Metropolitana de Santiago
13601;Talagante;13;Metropolitana de Santiago
13602;El Monte;13;Metropolitana de Santiago
13603;Isla de Maipo;13;Metropolitana de Santiago
13604;Padre Hurtado;13;Metropolitana de Santiago
13605;Peñaflor;13;Metropolitana de Santiago
14101;Valdivia;14;Los Ríos
14102;Corral;14;Los Ríos
14103;Lanco;14;Los Ríos
14104;Los Lagos;14;Los Ríos
14105;Máfil;14;Los Ríos
14106;Mariquina;14;Los Ríos
14107;Paillaco;14;Los Ríos
14108;Panguipulli;14;Los Ríos
14201;La Unión;14;Los Ríos
14202;Futrono;14;Los Ríos
14203;Lago Ranco;14;Los Ríos
14204;Río Bueno;14;Los Ríos
15101;Arica;15;Arica y Parinacota
15102;Camarones;15;Arica y Parinacota
15201;Putre;15;Arica y Parinacota
15202;General Lagos;15;Arica y Parinacota
16101;Chillán;16;Ñuble
16102;Bulnes;16;Ñuble
16103;Chillán Viejo;16;Ñuble
16104;El Carmen;16;Ñuble
16105;Pemuco;16;Ñuble
16106;Pinto;16;Ñuble
16107;Quillón;16;Ñuble
16108;San Ignacio;16;Ñuble
16109;Yungay;16;Ñuble
16201;Quirihue;16;Ñuble
16202;Cobquecura;16;Ñuble
16203;Coelemu;16;Ñuble
16204;Ninhue;16;Ñuble
16205;Portezuelo;16;Ñuble
16206;Ranquil;16;Ñuble
16207;Treguaco;16;Ñuble
16301;San Carlos;16;Ñuble
16302;Coihueco;16;Ñuble
16303;Ñiquén;16;Ñuble
16304;San Fabián;16;Ñuble
16305;San Nicolás;16;Ñuble
